,artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
17,Hiroshige,,bird-and-flower painting,4154.0,9051.0,5964682.0,wikiart,Ukiyo-e,Hydrangea and Kingfisher,train_and_test,True,23508.jpg
39,Lucas Cranach the Elder,1534,allegorical painting,4344.0,6240.0,11276229.0,wikiart,Northern Renaissance,Charity,train_and_test,True,77921.jpg
93,Carlos Saenz de Tejada,,history painting,5306.0,4004.0,2603522.0,wikiart,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 10. The Death of St. Ignatius 31st July 1556.,train_and_test,True,73181.jpg
99,Konstantin Vasilyev,,mythological painting,3548.0,5870.0,2512997.0,wikiart,Symbolism,The battle with the dragon,test_only,False,19784.jpg
109,Nicolas Poussin,c.1630,mythological painting,5536.0,3682.0,5682268.0,wikiart,Classicism,Sleeping Venus and Cupid,train_and_test,True,43517.jpg
158,Mario Tozzi,1918,panorama,3445.0,5135.0,4808374.0,wikiart,,Notturno a Suna,train_and_test,True,72005.jpg
180,Ferdinand Hodler,1910,landscape,4812.0,3570.0,10304087.0,wikipedia,Art Nouveau (Modern),"Thun, Stockhornkette",train_and_test,False,13495.jpg
203,Koloman Moser,1914,self-portrait,4734.0,3510.0,10910703.0,wikiart,Art Nouveau (Modern),Self-Portrait with mermaid,train_and_test,True,38397.jpg
233,Ferdinand Hodler,1909,sketch and study,3408.0,4740.0,7702393.0,wikiart,Symbolism,Fusilier Marching to the left,train_and_test,False,71350.jpg
281,Konstantin Vasilyev,,portrait,3052.0,4956.0,4275349.0,wikiart,Symbolism,Marshal Zhukov,test_only,False,100951.jpg
297,Ferdinand Hodler,c.1913,sketch and study,5154.0,2868.0,9691001.0,wikiart,Art Nouveau (Modern),Thirteen standing draped figures,train_and_test,True,35843.jpg
299,Albrecht Durer,1508,religious painting,3036.0,4858.0,4787454.0,wikiart,Northern Renaissance,Agony In The Garden,train_and_test,True,5145.jpg
347,Guido Reni,1625,religious painting,4075.0,3449.0,6139429.0,wikiart,Baroque,Baby Jesus asleep on the Cross,train_and_test,True,76728.jpg
353,Theophile Steinlen,1896.0,,3240.0,4320.0,1786388.0,wikiart,,La Francontoise  ,train_and_test,True,95021.jpg
356,Theophile Steinlen,1893.0,illustration,3240.0,4320.0,1644270.0,wikiart,Art Nouveau (Modern),Les Gavroches  ,train_and_test,True,75013.jpg
371,Thomas Eakins,,portrait,2863.0,4841.0,4040248.0,wikiart,Realism,Portraits ,train_and_test,True,40855.jpg
381,Konstantin Vasilyev,,landscape,2939.0,4680.0,1269768.0,wikiart,Contemporary Realism,Village of Mari,test_only,False,34202.jpg
451,Rembrandt,1640,portrait,3268.0,4045.0,4222317.0,wikiart,Baroque,Self-portrait at the Age of 34,train_and_test,False,67638.jpg
461,Katsushika Hokusai,,genre painting,4438.0,2961.0,4365859.0,wikiart,Ukiyo-e,Ono Shindon in the Suraga province,train_and_test,True,91676.jpg
523,Katsushika Hokusai,,landscape,4368.0,2916.0,2154543.0,wikiart,Ukiyo-e,The Fuji seen from the Mishima pass,train_and_test,True,54323.jpg
550,Paolo Veronese,c.1570,mythological painting,3114.0,4000.0,6377248.0,wikiart,Mannerism (Late Renaissance),Mars and Venus United by Love,train_and_test,True,38985.jpg
